id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,first_review,last_review,instant_bookable,has_availability
3344,4957.0,38.90145,-77.02679,,,4.0,2.0,1.0,3.0,$150.00,59.0,370.0,27.0,57.0,87.0,362.0,10.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.05,0.0,0.0,1.0,2.0,0.0,59.0,370.0,Entire condo,"Washington, DC",,f,f,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire condo,Entire home/apt,09/05/2009,31/08/2016,f,t
3686,4645.0,38.86339,-76.98889,90%,0%,4.0,1.0,1.0,2.0,$60.00,31.0,365.0,0.0,0.0,23.0,298.0,84.0,0.0,0.0,4.64,4.73,4.45,4.91,4.84,3.91,4.64,1.0,0.0,1.0,0.47,0.0,0.0,1.0,1.0,0.0,31.0,365.0,Private room in home,"Washington D.C., DC",within a few hours,f,t,Historic Anacostia,Private room in home,Private room,01/11/2010,30/08/2023,f,t
3943,5059.0,38.91195,-77.00456,100%,94%,5.0,2.0,1.0,1.0,$79.00,1.0,1125.0,5.0,26.0,56.0,331.0,546.0,41.0,2.0,4.86,4.89,4.93,4.94,4.92,4.61,4.77,5.0,0.0,5.0,2.78,246.0,19434.0,1.0,5.0,0.0,1.0,1125.0,Private room in townhouse,"Washington, DC",within an hour,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room in townhouse,Private room,10/05/2009,27/05/2025,f,t
4197,5061.0,38.88719,-76.99472,100%,97%,2.0,1.0,1.5,1.0,$128.00,6.0,29.0,11.0,41.0,71.0,346.0,67.0,6.0,1.0,4.88,4.98,4.89,5.0,4.98,4.97,4.94,2.0,0.0,2.0,0.34,72.0,9216.0,1.0,2.0,0.0,4.0,1125.0,Private room in home,"Washington D.C., DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Private room in home,Private room,14/05/2009,20/05/2025,f,t
4529,5803.0,38.90585,-76.94469,,,4.0,2.0,,,,30.0,1125.0,0.0,0.0,0.0,63.0,102.0,0.0,0.0,4.66,4.8,4.6,4.93,4.93,4.51,4.83,2.0,0.0,2.0,0.53,0.0,,,2.0,0.0,30.0,1125.0,Private room in home,"Washington, DC",,f,t,"Eastland Gardens, Kenilworth",Private room in home,Private room,08/08/2009,05/07/2019,f,t
5589,6527.0,38.91887,-77.04008,100%,0%,4.0,3.0,1.0,1.0,$87.00,50.0,90.0,0.0,13.0,43.0,133.0,96.0,0.0,0.0,4.5,4.71,4.13,4.82,4.82,4.91,4.44,1.0,1.0,0.0,0.5,0.0,0.0,1.0,2.0,0.0,31.0,90.0,Entire rental unit,"Washington D.C., DC",within an hour,f,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire rental unit,Entire home/apt,22/09/2009,17/08/2023,f,t
7103,17633.0,38.91999,-77.09774,100%,100%,108.0,2.0,1.0,2.0,$74.00,31.0,1125.0,0.0,14.0,44.0,319.0,91.0,0.0,0.0,4.79,4.77,4.87,4.94,4.9,4.79,4.81,22.0,22.0,0.0,0.49,0.0,0.0,1.0,25.0,0.0,31.0,764.0,Entire guest suite,"Washington, DC",within an hour,t,t,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Entire guest suite,Entire home/apt,21/03/2010,03/06/2022,f,t
11785,32015.0,38.92622,-77.07591,100%,100%,6.0,4.0,1.0,3.0,$90.00,31.0,730.0,0.0,0.0,20.0,269.0,416.0,2.0,1.0,4.59,4.65,4.6,4.87,4.88,4.83,4.58,4.0,1.0,3.0,2.21,124.0,11160.0,1.0,4.0,0.0,31.0,730.0,Entire rental unit,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Entire rental unit,Entire home/apt,12/01/2010,31/05/2025,f,t
12442,32015.0,38.92756,-77.07667,100%,100%,6.0,2.0,1.5,1.0,$52.00,31.0,365.0,0.0,0.0,28.0,303.0,120.0,2.0,0.0,4.62,4.73,4.69,4.86,4.85,4.81,4.58,4.0,1.0,3.0,0.65,124.0,6448.0,1.0,4.0,0.0,31.0,1125.0,Private room in home,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Private room in home,Private room,12/03/2010,20/12/2024,t,t
13744,53927.0,38.92836,-77.03136,100%,0%,3.0,2.0,1.0,2.0,$125.00,30.0,90.0,0.0,15.0,45.0,225.0,38.0,0.0,0.0,4.84,4.92,4.84,5.0,4.97,4.76,4.84,1.0,1.0,0.0,0.21,0.0,0.0,1.0,1.0,0.0,30.0,1125.0,Entire rental unit,"Washington, DC",within a day,f,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,11/04/2010,14/11/2023,f,t
